2023-12-04 19:05:11,082 - INFO - leon9 se movió a la posición [8, 0]
2023-12-04 19:05:11,396 - INFO - leon se movió a la posición [4, 11]
2023-12-04 19:05:11,396 - INFO - leon2 se movió a la posición [5, 7]
2023-12-04 19:05:11,396 - INFO - leon3 se movió a la posición [5, 5]
2023-12-04 19:05:11,396 - INFO - leon4 se movió a la posición [10, 4]
2023-12-04 19:05:11,396 - INFO - leon5 se movió a la posición [7, 8]
2023-12-04 19:05:11,396 - INFO - leon6 se movió a la posición [0, 1]
2023-12-04 19:05:11,397 - INFO - leon7 se movió a la posición [2, 2]
2023-12-04 19:05:11,397 - INFO - leon8 se movió a la posición [2, 24]
2023-12-04 19:05:11,397 - INFO - leon9 se movió a la posición [9, 0]
2023-12-04 19:05:11,697 - INFO - leon se movió a la posición [4, 12]
2023-12-04 19:05:11,697 - INFO - leon2 se movió a la posición [5, 6]
2023-12-04 19:05:11,697 - INFO - leon3 se movió a la posición [5, 4]
2023-12-04 19:05:11,698 - INFO - leon4 se movió a la posición [10, 3]
2023-12-04 19:05:11,698 - INFO - leon5 se movió a la posición [7, 9]
2023-12-04 19:05:11,698 - INFO - leon6 se movió a la posición [0, 2]
2023-12-04 19:05:11,698 - INFO - leon7 se movió a la posición [2, 3]
2023-12-04 19:05:11,698 - INFO - leon8 se movió a la posición [2, 25]
2023-12-04 19:05:11,698 - INFO - leon9 se movió a la posición [9, 1]
2023-12-04 19:05:12,013 - INFO - leon se movió a la posición [4, 13]
2023-12-04 19:05:12,013 - INFO - leon2 se movió a la posición [5, 5]
2023-12-04 19:05:12,013 - INFO - leon3 se movió a la posición [4, 4]
2023-12-04 19:05:12,013 - INFO - leon4 se movió a la posición [9, 3]
2023-12-04 19:05:12,013 - INFO - leon5 se movió a la posición [7, 8]
2023-12-04 19:05:12,013 - INFO - leon6 se movió a la posición [0, 3]
2023-12-04 19:05:12,013 - INFO - leon7 se movió a la posición [2, 4]
2023-12-04 19:05:12,013 - INFO - leon8 se movió a la posición [2, 24]
2023-12-04 19:05:12,014 - INFO - leon9 se movió a la posición [10, 1]
2023-12-04 19:05:12,327 - INFO - leon se movió a la posición [4, 14]
2023-12-04 19:05:12,327 - INFO - leon2 se movió a la posición [5, 4]
2023-12-04 19:05:12,327 - INFO - leon3 se movió a la posición [3, 4]
2023-12-04 19:05:12,327 - INFO - leon4 se movió a la posición [9, 2]
2023-12-04 19:05:12,328 - INFO - leon5 se movió a la posición [7, 7]
2023-12-04 19:05:12,328 - INFO - leon6 se movió a la posición [0, 2]
2023-12-04 19:05:12,328 - INFO - leon7 se movió a la posición [3, 4]
2023-12-04 19:05:12,328 - INFO - leon8 se movió a la posición [3, 24]
2023-12-04 19:05:12,328 - INFO - leon9 se movió a la posición [9, 1]
2023-12-04 19:05:12,639 - INFO - leon se movió a la posición [4, 15]
2023-12-04 19:05:12,639 - INFO - leon2 se movió a la posición [5, 3]
2023-12-04 19:05:12,639 - INFO - leon3 se movió a la posición [3, 3]
2023-12-04 19:05:12,639 - INFO - leon4 se movió a la posición [9, 1]
2023-12-04 19:05:12,639 - INFO - leon5 se movió a la posición [8, 7]
2023-12-04 19:05:12,639 - INFO - leon6 se movió a la posición [0, 3]
2023-12-04 19:05:12,640 - INFO - leon7 se movió a la posición [3, 3]
2023-12-04 19:05:12,640 - INFO - leon8 se movió a la posición [3, 23]
2023-12-04 19:05:12,640 - INFO - leon9 se movió a la posición [9, 2]
2023-12-04 19:05:12,965 - INFO - leon se movió a la posición [3, 15]
2023-12-04 19:05:12,966 - INFO - leon2 se movió a la posición [4, 3]
2023-12-04 19:05:12,966 - INFO - leon3 se movió a la posición [2, 3]
2023-12-04 19:05:12,966 - INFO - leon4 se movió a la posición [10, 1]
2023-12-04 19:05:12,966 - INFO - leon5 se movió a la posición [8, 6]
2023-12-04 19:05:12,967 - INFO - leon6 se movió a la posición [0, 3]
2023-12-04 19:05:12,967 - INFO - leon7 se movió a la posición [3, 4]
2023-12-04 19:05:12,967 - INFO - leon8 se movió a la posición [2, 23]
2023-12-04 19:05:12,967 - INFO - leon9 se movió a la posición [10, 2]
2023-12-04 19:05:13,279 - INFO - leon se movió a la posición [3, 14]
2023-12-04 19:05:13,279 - INFO - leon2 se movió a la posición [4, 4]
2023-12-04 19:05:13,279 - INFO - leon3 se movió a la posición [1, 3]
2023-12-04 19:05:13,279 - INFO - leon4 se movió a la posición [10, 2]
2023-12-04 19:05:13,279 - INFO - leon5 se movió a la posición [8, 7]
2023-12-04 19:05:13,279 - INFO - leon6 se movió a la posición [1, 3]
2023-12-04 19:05:13,279 - INFO - leon7 se movió a la posición [3, 3]
2023-12-04 19:05:13,279 - INFO - leon8 se movió a la posición [1, 23]
2023-12-04 19:05:13,279 - INFO - leon9 se movió a la posición [11, 2]
2023-12-04 19:05:13,592 - INFO - leon se movió a la posición [4, 14]
2023-12-04 19:05:13,592 - INFO - leon2 se movió a la posición [4, 5]
2023-12-04 19:05:13,592 - INFO - leon3 se movió a la posición [1, 4]
2023-12-04 19:05:13,593 - INFO - leon4 se movió a la posición [10, 3]
2023-12-04 19:05:13,593 - INFO - leon5 se movió a la posición [9, 7]
2023-12-04 19:05:13,593 - INFO - leon6 se movió a la posición [2, 3]
2023-12-04 19:05:13,593 - INFO - leon7 se movió a la posición [4, 3]
2023-12-04 19:05:13,593 - INFO - leon8 se movió a la posición [1, 22]
2023-12-04 19:05:13,593 - INFO - leon9 se movió a la posición [12, 2]
2023-12-04 19:05:13,934 - INFO - leon se movió a la posición [4, 13]
2023-12-04 19:05:13,934 - INFO - leon2 se movió a la posición [5, 5]
2023-12-04 19:05:13,934 - INFO - leon3 se movió a la posición [1, 3]
2023-12-04 19:05:13,934 - INFO - leon4 se movió a la posición [9, 3]
2023-12-04 19:05:13,935 - INFO - leon5 se movió a la posición [9, 8]
2023-12-04 19:05:13,935 - INFO - leon6 se movió a la posición [2, 2]
